Signal,Signal type,"Type - Outbound, MUltithread, clsoed lost",Outbound Type,Signal description,Guides
% change in usage (increase or decrease) last x days,Product Usage,,Expansion,Change in usage indicates a touch point opportunity with customers. Customers with high usage present potential upsell opportunities. Disengaged customers with decreased usage present an opportunity to intervene and prevent churn.,
10K/financial update,Financial update,,Cold outbound,Public 10-K filings and quarterly earnings offer insights into a prospect's plans and challenges. Search for keywords related to your product to uncover key information.,
Abandoned cart,cart abandonded ,,Warm outbound,Connect with ICP-fit accounts that start the self-serve purchase process but abandon during checkout. They may need a custom plan more suited to enterprise.,
% of account whitespace,Whitespace,,Expansion,Accounts with ample white spacemake ideal targets for expansion plays.,
Champion joins new account,Job Switcher,,Cold outbound,Existing deal contact or product user switches jobs are perfect warm intros to new accounts.,https://www.pocus.com/playbook/product-champion-switches-jobs-playbook
Data breach / security incident,Company Update,,Cold outbound,"A data breach or security incident can delay a sales cycle due to heightened scrutiny, budget reallocations for recovery, and concerns over risk mitigation. It may also lead to a loss of trust, requiring more time to rebuild confidence.",
Demo requests,Demo engaged,,Warm outbound,This is one of the strongest signals you can get! A demo request is an active hand-raiser who is showing high intent to buy.,
Director+ signs up,Product Usage,,Expansion,Nurture decision makers who have signed up as a new user to help build pipeline or expand existing accounts.,
Engagement at events,Events Attended,,Warm outbound,"Engagement with events signals interest in relevant topics or solutions, providing the seller with context to tailor their outreach. It creates an opportunity to reference the event, address the prospect’s interests, and position the offering as a solution to their potential needs.",
Engagement with content,Marketing engagement,,Warm outbound,"If you’ve noticed an ICP user engaging with marketing content, reach out and work to build a personal relationship. The marketing engagement can be an early signal they’re in the research and discovery phase of buying.",
Engagement with LinkedIn,LinkedIn Content,,Warm outbound,Engagement with Linkedin content indicates interest. Leverage these contacts to continue the conversation.,
Engagement with website,Marketing engagement,,Warm outbound,"Website visitor account are showing some intent (depending on the pages they visit). Create playbooks to target prospects within these accounts specific to the pages they visited (pricing, demo, docs, etc.) or their lifecycle stage (active deal, customer, etc.)",https://www.pocus.com/playbook/signal-playbook-website-visitors
Engagement wtih Events ,Events Attended,,Warm outbound,"Engagement with events signals interest in relevant topics or solutions, providing the seller with context to tailor their outreach. It creates an opportunity to reference the event, address the prospect’s interests, and position the offering as a solution to their potential needs.",
Expanding Locations,Company Update,,Cold outbound,"When a customer adds new locations, it creates opportunities for a seller to expand by offering solutions that support scalability, consistency, and integration across multiple sites. The seller can position their product or service to help the customer manage growth.",
Feature adopting,PQA,,Expansion,"Build rapport with power users to understand how and why they’re so active in your product. They can be used for case studies or referrals, and may be open to account expansion.",
Former product user joins active deal,Sales Motion,,Expansion,Use a former product champion to advocate for you within an active deal.,
Funding announcement ,Financial update,,Cold outbound,Congratulate target accounts on a recent fundraise. Consider including a gift to build rapport.,
Hiring for X roles,Hiring update,,Cold outbound,"Hiring for new roles or replacement roles can give you insight into what is going on within an organization. Adding new head count or new roles indicates growth, where replacement hiring may indicate turn over or change. ",
Industry updates ,Industry update,,Cold outbound,Foster meaningful conversations by demonstrating knowledge of a customers challenges and offering solutions,
Industry updates / activity,Industry update,,Cold outbound,Foster meaningful conversations by demonstrating knowledge of a customers challenges and offering solutions,
Interactive demo complete,Sales motion,,Warm outbound,Reach out to prospects who have watched an interactive demo but have yet to take the next step.,
Invites sent,Product Usage,,Expansion,A great sign that your product is being adopted internally is the number of invites a current user has sent. Identify your best accounts and reach out to discuss enterprise offerings.,
Job posting,Hiring update,,Cold outbound,"Hiring for new roles or replacement roles can give you insight into what is going on within an organization. Adding new head count or new roles indicates growth, where replacement hiring may indicate turn over or change. ",
Lawsuits,Company Update,,Cold outbound,"If a customer is going through a lawsuit, a seller may reach out to a prospect by offering solutions that help mitigate risk, improve compliance, or streamline operations during a challenging time. The seller can position their product or service as a tool to help manage legal complexities, reduce operational disruptions, or ensure business continuity amid the uncertainty.",
layoffs,Company Update,,Cold outbound,"Layoffs can impact a sales cycle by reducing decision-making power, causing budget cuts, and shifting company priorities. It may also lead to longer approval times and uncertainty about future spending.",
M&A,Company Update,,Cold outbound,"When a customer is going through a merger or acquisition, it often leads to changes in processes, systems, and goals. A seller can reach out to a prospect by offering solutions that help streamline integration, manage new complexities, and support the alignment of the two companies' operations, helping the prospect navigate these transitions smoothly.",
Mentioned by competitor,Tech stack update,,Cold outbound,"Utilize this oppotunity to differentiate your product and highlight its unique value, as well as address any concerns. ",
Nearing paywall / usage limits,Product Usage,,Expansion,Monitor accounts using free or tiered subscriptions and reach out when they near a paywall to close a free-to-paid conversion or upsell them to the next plan tier.,
New department user added,Product Usage,,Expansion,Seats added from a new department could indicate use case expansion and an opportunity to upsell/expand.,
New geo sign-up,New Sign Up,,Expansion,Capitalize on expansion opportunities and new market opportunities,
New Stakeholder,Team Update,,Cold outbound,A new stakeholder coming on board at a target account is a great time to begin or restart sales conversations.,
Overages,Product Usage,,Expansion,Use overages as an opportunity to discuss contract expansion.,
partnership annoucements ,Company Update,,Cold outbound,"If a customer has experienced a data breach, a seller can reach out to a prospect by offering solutions that enhance security, improve data protection, and help prevent future breaches. It can also help a seller understand ongoing impacts to their prospect and the broader org. ",
Podcast / executive events,Executive event,,Cold outbound,Maximize opportunities by proactively engaging event attendees and podcast listeners. ,
PQA/PQL ,PQA,,Expansion,High PQA score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Press release,Company Update,,Cold outbound,"Depending on information found in a recent press release, sellers can position their offering as a solution that complement annouced changes, demonstrating market awareness and building trust.",
Pricing updates,Product update,,Cold outbound,Enable a proactive response to pricing updates. ,
Product annoucement ,Product update,,Cold outbound,A customer's product announcement can help a seller reach out to a prospect by providing a timely and relevant conversation starter. It signals new needs or challenges that the seller's product can address.,
Product qualified account (PQA),PQA,,Expansion,High PQA score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Product qualified lead (PQL),PQA,,Expansion,High PQL score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Rebrand,Company Update,,Cold outbound,"A rebrand signals change within an organization, and a seller can leverage this insight to guide their discovery process. By looking for additional signals, they can align their solution with the upcoming changes and emerging needs.",
Recent news,Company Update,,Cold outbound,Increase engagement potential by using recent news to personalize your outreach and build credibility with prospects,
Seat utilization,Product Usage,,Expansion,Seat utilization metrics can be used to find ideal targets for expansion and upsell.,
Specific tech in tech stack,Tech stack update,,Cold outbound,Look for accounts that specifically mention their use of a complimentary product or a competitor. Job descriptions and co-marketing like case studies are a good resource.,
